iter	RMSE
0	1.339396089
1	1.320463174
2	1.301764459
3	1.283983345
4	1.266592494
5	1.249671702
6	1.233300098
7	1.217140582
8	1.20149468
9	1.186144739
10	1.171036079
11	1.156797558
12	1.141939954
13	1.128068773
14	1.114280827
15	1.101015869
16	1.088186383
17	1.075618258
18	1.063238384
19	1.051554748
20	1.039943194
21	1.028182
22	1.017073729
23	1.006497378
24	0.9962850005
25	0.985953425
26	0.9760423871
27	0.9665758428
28	0.9572187725
29	0.9480367164
30	0.9391124805
31	0.9302671158
32	0.9220161913
33	0.913961457
34	0.9059444547
35	0.8984693407
36	0.8910381094
37	0.883739087
38	0.8761876631
39	0.8690534189
40	0.8625440593
41	0.8561168875
42	0.8496288288
43	0.8435004565
44	0.8374980351
45	0.8317292602
46	0.8260250121
47	0.8199215462
48	0.8147294691
49	0.8096282873
50	0.8047520435
51	0.7998872177
52	0.7953861083
53	0.7910341648
54	0.7861615069
55	0.7819136714
56	0.777874338
57	0.773615161
58	0.7693981164
59	0.7651373907
60	0.7613002081
61	0.7577945942
62	0.7544260457
63	0.7502195643
64	0.7466908492
65	0.7433893061
66	0.7400707457
67	0.7369314717
68	0.7338683943
69	0.7304067606
70	0.727769221
71	0.7247441329
72	0.7214073716
73	0.7181602758
74	0.7157931934
75	0.7130112141
76	0.7105519777
77	0.7083249635
78	0.7057236283
79	0.7035584045
80	0.7010818873
81	0.6982890905
82	0.6957049063
83	0.6915858323
84	0.6890251932
85	0.6848428455
86	0.6808955034
87	0.6768023684
88	0.6730269445
89	0.6693955186
90	0.6661071965
91	0.6641773419
92	0.6624228734
93	0.6605172305
94	0.6577006797
95	0.6544595543
96	0.6514027022
97	0.6482967823
98	0.6466034988
99	0.6435032438
100	0.6408931007
101	0.6380148479
102	0.636580878
103	0.6338768265
104	0.6315503624
105	0.6290201799
106	0.6267902574
107	0.624716159
108	0.6219358389
109	0.6194276773
110	0.6181430432
111	0.6162290673
112	0.6141808415
113	0.6120050641
114	0.609649277
115	0.6078401211
116	0.6059290577
117	0.6042674127
118	0.6031575974
119	0.6012830809
120	0.599764303
121	0.5983561208
122	0.5968719546
123	0.5957299895
124	0.5940893754
125	0.5928067515
126	0.5919846017
127	0.5909703802
128	0.5895126159
129	0.5886476264
130	0.5871426795
131	0.58584561
132	0.5849656041
133	0.5833414886
134	0.581785463
135	0.5802684554
136	0.5788926003
137	0.5782844384
138	0.5775047951
139	0.5769175812
140	0.5756442018
141	0.5743087566
142	0.573595521
143	0.5726499265
144	0.5719750142
145	0.5710591058
146	0.5697312561
147	0.5684835249
148	0.5677997536
149	0.5665751479
150	0.5654972253
151	0.5648955354
152	0.5643316009
153	0.5633876501
154	0.5619971222
155	0.5613892534
156	0.5603320481
157	0.5593841143
158	0.5583216647
159	0.5575473719
160	0.5569775872
161	0.5556018052
162	0.554984707
163	0.5542636017
164	0.5535418233
165	0.5523113358
166	0.5517765327
167	0.5504777128
168	0.5492642914
169	0.5483021022
170	0.547813113
171	0.54668664
172	0.5457006473
173	0.5450298596
174	0.5439643841
175	0.5429133651
176	0.5425695316
177	0.5421563022
178	0.541653057
179	0.5412399024
180	0.5404512063
181	0.5398990157
182	0.5395373615
183	0.539207342
184	0.5388199689
185	0.537944894
186	0.5374206608
187	0.5366146672
188	0.5358690606
189	0.5353797155
190	0.534532568
191	0.5340334982
192	0.5331472996
193	0.5328008054
194	0.5324698088
195	0.5320041167
196	0.5312369094
197	0.5306489326
198	0.5299988471
199	0.5290134799
200	0.5282867467
201	0.5276597033
202	0.5273179088
203	0.5266626654
204	0.5261510396
205	0.5257288231
206	0.5251648149
207	0.5246151273
208	0.5241339371
209	0.5233913089
210	0.5231016022
211	0.5227535477
212	0.5220665177
213	0.5215645791
214	0.5210293133
215	0.520539708
216	0.5201518106
217	0.5197299359
218	0.5192396006
219	0.5188496302
220	0.5183831556
221	0.5181280184
222	0.5178967575
223	0.5176085716
224	0.5171250997
225	0.5167851266
226	0.5164999891
227	0.5160847247
228	0.5157505676
229	0.5153987138
