iter	Passed	Remaining
402	13160	182772
403	13194	182764
404	13228	182743
405	13259	182695
406	13293	182680
407	13329	182693
408	13366	182713
409	13397	182663
410	13431	182653
411	13463	182601
412	13494	182556
413	13527	182522
414	13558	182469
415	13592	182446
416	13623	182403
417	13653	182329
418	13683	182263
419	13713	182197
420	13744	182136
421	13776	182101
422	13809	182064
423	13837	181976
424	13868	181926
425	13899	181874
426	13929	181804
427	13960	181745
428	13991	181699
429	14021	181630
430	14051	181560
431	14085	181540
432	14116	181490
433	14147	181441
434	14179	181401
435	14210	181346
436	14241	181291
437	14273	181248
438	14305	181213
439	14335	181144
440	14363	181062
441	14392	180978
442	14426	180966
443	14454	180878
444	14485	180820
445	14521	180838
446	14553	180800
447	14588	180790
448	14624	180806
449	14654	180740
450	14689	180733
451	14722	180706
452	14752	180644
453	14782	180582
454	14811	180508
455	14841	180443
456	14875	180423
457	14903	180340
458	14937	180324
459	14978	180396
460	15014	180399
461	15047	180375
462	15081	180356
463	15114	180328
464	15147	180309
465	15184	180327
466	15221	180346
467	15255	180323
468	15292	180343
469	15323	180293
470	15362	180342
471	15399	180362
472	15432	180323
473	15470	180362
474	15502	180316
475	15535	180293
476	15570	180287
477	15607	180301
478	15640	180269
479	15673	180240
480	15704	180192
481	15739	180185
482	15788	180337
483	15816	180259
484	15852	180256
485	15881	180188
486	15921	180241
487	15960	180280
488	15993	180244
489	16027	180228
490	16062	180224
491	16089	180128
492	16121	180079
493	16162	180146
494	16191	180073
495	16225	180045
496	16260	180047
497	16288	179959
498	16319	179906
499	16351	179864
500	16383	179827
501	16423	179869
502	16463	179918
503	16496	179889
504	16525	179819
505	16561	179819
506	16604	179903
507	16643	179930
508	16686	180008
509	16716	179952
510	16747	179892
511	16779	179858
512	16811	179814
513	16842	179762
514	16875	179732
515	16905	179674
516	16937	179628
517	16970	179599
518	17009	179633
519	17041	179590
520	17084	179669
521	17124	179704
522	17165	179760
523	17204	179795
524	17235	179746
525	17266	179693
526	17300	179667
527	17335	179654
528	17363	179579
529	17407	179662
530	17438	179604
531	17473	179594
532	17505	179553
533	17543	179579
534	17577	179550
535	17614	179560
536	17645	179506
537	17683	179529
538	17714	179479
539	17744	179417
540	17777	179384
541	17804	179296
542	17836	179252
543	17868	179209
544	17899	179163
545	17932	179126
546	17964	179086
547	17995	179034
548	18028	179000
549	18060	178958
550	18091	178913
551	18120	178841
552	18152	178800
553	18180	178718
554	18214	178695
555	18244	178642
556	18279	178630
557	18312	178595
558	18342	178539
559	18373	178486
560	18406	178453
561	18437	178406
562	18469	178360
563	18501	178319
564	18531	178260
565	18561	178200
566	18592	178155
567	18626	178130
568	18657	178081
569	18688	178035
570	18720	177992
571	18753	177959
572	18786	177932
573	18815	177858
574	18846	177811
575	18878	177769
576	18915	177779
577	18949	177760
578	18980	177711
579	19012	177669
580	19043	177615
581	19075	177576
582	19104	177513
583	19136	177468
584	19169	177437
585	19201	177399
586	19230	177336
587	19265	177319
588	19299	177298
589	19327	177227
590	19359	177182
591	19390	177131
592	19425	177120
593	19463	177136
594	19498	177125
595	19540	177177
596	19571	177129
597	19603	177088
598	19635	177051
599	19665	176991
600	19700	176980
601	19733	176941
602	19763	176883
603	19793	176830
604	19825	176794
605	19857	176747
606	19892	176736
607	19929	176740
608	19963	176724
609	19995	176677
610	20027	176638
611	20059	176599
612	20087	176531
613	20122	176510
614	20152	176460
615	20181	176392
616	20217	176390
617	20253	176383
618	20283	176326
619	20317	176306
620	20349	176264
621	20383	176240
622	20412	176177
623	20443	176127
624	20484	176170
625	20518	176143
626	20550	176109
627	20581	176057
628	20612	176010
629	20648	176002
630	20678	175949
631	20709	175900
632	20741	175856
633	20771	175801
634	20800	175743
635	20830	175681
636	20863	175656
637	20894	175607
638	20925	175560
639	20952	175478
640	20985	175443
641	21014	175383
642	21048	175359
643	21079	175310
644	21109	175262
645	21141	175221
646	21174	175189
647	21204	175130
648	21233	175066
649	21265	175033
650	21296	174986
651	21326	174931
652	21358	174890
653	21391	174857
654	21422	174814
655	21457	174800
656	21489	174762
657	21520	174719
658	21550	174661
659	21579	174598
660	21612	174567
661	21645	174535
662	21678	174503
663	21709	174459
664	21738	174396
665	21774	174395
666	21804	174341
667	21836	174297
668	21868	174260
669	21899	174216
670	21934	174201
671	21966	174163
672	21998	174127
673	22028	174070
674	22061	174037
675	22095	174020
676	22126	173974
677	22157	173927
678	22188	173884
679	22223	173865
680	22252	173804
681	22283	173760
682	22315	173717
683	22348	173687
684	22380	173652
685	22414	173631
686	22447	173598
687	22478	173555
688	22513	173536
689	22547	173519
690	22579	173481
691	22611	173443
692	22642	173395
693	22670	173330
694	22700	173272
695	22729	173214
696	22759	173161
697	22789	173110
698	22824	173093
699	22861	173093
700	22895	173070
701	22927	173034
702	22960	173006
703	22992	172967
704	23023	172919
705	23055	172880
706	23084	172826
707	23118	172801
708	23161	172843
709	23192	172803
710	23227	172784
711	23256	172723
712	23288	172688
713	23323	172669
714	23355	172631
715	23385	172579
716	23417	172543
717	23450	172512
718	23483	172481
719	23514	172440
720	23547	172410
721	23581	172385
722	23611	172335
723	23644	172305
724	23675	172263
725	23708	172230
726	23737	172169
727	23768	172129
728	23798	172073
729	23827	172016
730	23861	171993
731	23890	171936
732	23921	171885
733	23953	171852
734	23986	171819
735	24019	171790
736	24049	171738
737	24080	171692
738	24110	171641
739	24140	171593
740	24168	171527
741	24204	171519
742	24237	171491
743	24275	171493
744	24308	171464
745	24340	171424
746	24375	171414
747	24408	171381
748	24446	171386
749	24479	171359
750	24514	171343
751	24550	171331
752	24587	171327
753	24619	171292
754	24656	171287
755	24688	171250
756	24720	171216
757	24753	171186
758	24784	171142
759	24817	171110
760	24848	171068
761	24881	171035
762	24915	171009
763	24945	170963
764	24978	170931
765	25010	170892
766	25041	170847
767	25070	170794
768	25100	170739
769	25133	170714
770	25165	170676
771	25199	170651
772	25229	170602
773	25259	170547
774	25287	170488
775	25315	170423
776	25346	170380
777	25377	170333
778	25410	170308
779	25446	170293
780	25483	170291
781	25518	170278
782	25551	170245
783	25583	170206
784	25614	170165
785	25649	170146
786	25677	170085
787	25706	170030
788	25738	169988
789	25771	169958
790	25805	169938
791	25844	169948
792	25878	169922
793	25918	169938
794	25951	169908
795	25985	169883
796	26023	169890
797	26057	169863
798	26089	169825
799	26122	169797
800	26154	169756
801	26184	169710
802	26219	169694
803	26258	169703
804	26294	169689
805	26328	169663
806	26365	169663
807	26406	169682
808	26443	169678
809	26482	169684
810	26518	169670
811	26552	169646
812	26585	169619
813	26616	169574
814	26654	169574
815	26685	169531
816	26721	169519
817	26764	169552
818	26806	169576
819	26846	169590
820	26882	169579
821	26920	169581
822	26958	169580
823	26995	169572
824	27025	169520
825	27059	169499
826	27094	169482
827	27129	169460
828	27163	169434
829	27196	169406
830	27229	169375
831	27268	169379
832	27302	169354
833	27334	169315
834	27366	169281
835	27400	169251
836	27433	169222
837	27466	169188
838	27496	169141
839	27530	169115
840	27564	169091
841	27597	169056
842	27626	169003
