iter	RMSE
0	945.0501073
1	929.4440557
2	914.5880631
3	898.9746856
4	883.51498
5	869.6544081
6	855.6426805
7	841.7226102
8	827.6114207
9	814.0051709
10	801.2667368
11	788.5902419
12	775.8885722
13	763.1544848
14	751.2416865
15	739.2599921
16	727.9642146
17	716.4074692
18	704.7003374
19	693.2886294
20	682.3000647
21	671.4210574
22	660.8178377
23	650.7375032
24	640.8629322
25	631.4060805
26	621.287404
27	611.8411121
28	602.4822302
29	593.3676625
30	584.0773663
31	575.5678203
32	566.7721078
33	558.2798943
34	550.4093651
35	542.2427344
36	534.797094
37	526.8557396
38	519.4070613
39	512.068166
40	504.7544696
41	497.4844384
42	490.6477665
43	483.7703556
44	477.2705999
45	470.6356469
46	464.2614939
47	458.3579811
48	452.2880488
49	446.7461252
50	440.5991932
51	434.9972691
52	429.3659006
53	423.6919831
54	417.9720768
55	413.1316042
56	408.4496325
57	403.8120299
58	398.7337241
59	393.6642499
60	388.9348625
61	384.3583348
62	379.8644082
63	374.9365744
64	370.3413928
65	365.9927507
66	361.3818
67	357.1146138
68	353.0384043
69	349.4162587
70	345.7240877
71	342.130257
72	338.0399359
73	333.999433
74	330.588445
75	327.1145032
76	323.5944936
77	320.6085595
78	317.3237536
79	313.8303321
80	310.8903779
81	308.0040491
82	304.7719484
83	301.5345677
84	298.4283509
85	295.4078188
86	292.5126704
87	289.5969016
88	286.8358582
89	284.2288236
90	281.7827369
91	279.3931955
92	277.0542805
93	274.9314071
94	272.4193736
95	270.0862341
96	267.9264929
97	265.6469094
98	263.7479635
99	261.4851593
100	259.1883631
101	257.0906689
102	255.3223082
103	253.4671224
104	251.6699323
105	249.7558011
106	247.9265361
107	246.1968986
108	244.4816215
109	242.7498137
110	241.2065925
111	239.7929833
112	238.2693827
113	236.7244474
114	235.4137207
115	234.0430102
116	232.9475833
117	231.6999277
118	230.1559369
119	228.7695737
120	227.4098062
121	226.1192173
122	224.7025779
123	223.2964567
124	222.1282066
125	220.8454372
126	219.7479845
127	218.6096614
128	217.3759012
129	216.1591289
130	215.149356
131	213.9288714
132	212.8438423
133	211.8115083
134	210.9075079
135	209.9494795
136	209.0087484
137	208.1679396
138	207.3906743
139	206.3621552
140	205.470524
141	204.6114058
142	203.7443935
143	203.0290131
144	202.315632
145	201.5795288
146	200.8302033
147	200.1091612
148	199.3246252
149	198.6987948
150	198.0207424
151	197.4479551
152	196.8160977
153	196.1746703
154	195.4512525
155	194.8202889
156	194.1215249
157	193.5383371
158	192.9631462
159	192.3342007
160	191.5654862
161	190.9037307
162	190.2183647
163	189.648968
164	189.0599684
165	188.5537101
166	187.8903057
167	187.4584928
168	186.948152
169	186.4381691
170	185.8721421
171	185.3294776
172	184.7927985
173	184.2312029
174	183.8518056
175	183.2573194
176	182.7491163
177	182.1552872
178	181.6717994
179	181.1712544
180	180.7917715
181	180.320289
182	179.8916243
183	179.4897674
184	179.1257978
185	178.7658967
186	178.3049498
187	178.0183326
188	177.6891575
189	177.4123093
190	176.9878974
191	176.5729718
192	176.1943701
193	175.8197126
194	175.5746884
195	175.2701269
196	174.9795515
197	174.6756769
198	174.3389772
199	174.0535916
200	173.7244166
201	173.4627727
202	173.0790405
203	172.7663795
204	172.3942646
205	172.0494321
206	171.722575
207	171.5068098
208	171.2501866
209	170.9329571
210	170.6242709
211	170.4312858
212	170.2056812
213	169.9434797
214	169.7558207
215	169.5104016
216	169.3456657
217	169.1501149
218	168.9721327
219	168.6796757
220	168.4186434
221	168.1696315
222	167.971061
223	167.7434067
224	167.5595875
225	167.3855065
226	167.1664739
227	166.8490103
228	166.6002009
229	166.4106705
230	166.0790501
231	165.8518994
232	165.6458605
233	165.43768
234	165.2116463
235	164.9343752
236	164.7288989
237	164.4633937
238	164.280016
239	164.0970701
240	163.8058017
241	163.5935527
242	163.2844238
243	163.1186986
244	162.9006762
245	162.6816584
246	162.4565129
247	162.2212238
248	162.084517
249	161.9285576
250	161.7791732
251	161.5945546
252	161.4299303
253	161.2783778
254	161.0539132
255	160.8095445
256	160.6180268
257	160.4566515
258	160.2876577
259	160.0871608
260	159.9260513
261	159.6924106
262	159.4974235
263	159.2597309
264	159.0449854
265	158.8254003
266	158.6491022
267	158.524457
268	158.3702727
269	158.1752864
270	157.9442019
271	157.8218549
272	157.6349605
273	157.4783082
274	157.3258103
275	157.2544282
276	156.995928
277	156.8858046
278	156.6987032
279	156.5259823
280	156.4279413
281	156.3309207
282	156.1704297
283	155.9241525
284	155.6977324
285	155.6127691
286	155.4352127
287	155.2604197
288	155.1211046
289	154.9434909
290	154.7997246
291	154.5889067
292	154.4395824
293	154.174465
294	154.0599566
295	153.9127901
296	153.7510925
297	153.5911269
298	153.4628418
299	153.3555526
300	153.1847732
301	153.1678755
302	153.0805515
303	152.9818923
304	152.8354545
305	152.6929042
306	152.5407434
307	152.4480935
308	152.2752417
309	152.166205
310	152.0510793
311	151.9487204
312	151.8677095
313	151.7707461
314	151.6821843
315	151.5935893
316	151.4528982
317	151.3355181
318	151.1344189
319	150.929133
320	150.7398333
321	150.5755926
322	150.464375
323	150.3485573
324	150.2504111
325	150.099546
326	150.0259112
327	149.9161858
328	149.8029739
329	149.6905085
330	149.5829484
331	149.4359615
332	149.3375213
333	149.1446019
334	149.0249116
335	148.9090357
336	148.7554716
337	148.5865025
338	148.4766153
339	148.3524771
340	148.2450682
341	148.1538389
342	148.0366593
343	147.9464593
344	147.7709716
345	147.6826527
346	147.5688613
347	147.4555464
348	147.3627491
349	147.1838238
350	147.0699996
351	146.9273204
352	146.8392039
353	146.7796795
354	146.6689056
355	146.5335761
356	146.3440333
357	146.2355967
358	146.1644062
359	146.058728
360	145.9580224
361	145.8572454
362	145.7654876
363	145.6820815
364	145.5805328
365	145.4725132
366	145.3330903
367	145.2416097
368	145.1889999
369	145.0791313
370	144.9690123
371	144.877362
372	144.7762394
373	144.588002
374	144.503764
375	144.403499
376	144.3041259
377	144.2249524
378	144.1317414
379	144.0450157
380	143.9679853
381	143.8511077
382	143.7420751
383	143.6546387
384	143.5596731
385	143.4432195
386	143.351477
387	143.2381326
388	143.1338301
389	143.029432
390	142.9286215
391	142.7919173
392	142.7078859
393	142.6553785
394	142.5137356
395	142.4033394
396	142.3382917
397	142.259903
398	142.1557426
399	142.0884792
400	142.0086473
401	141.9422649
402	141.8567041
403	141.7522893
404	141.6474459
405	141.5446679
406	141.4532363
407	141.3021818
408	141.1828157
409	141.1221756
410	140.9975873
411	140.926451
412	140.8348629
413	140.6961747
414	140.5685837
415	140.5035024
416	140.4203535
417	140.3569305
418	140.3050469
419	140.2387863
420	140.1572233
421	140.029167
422	139.9045419
423	139.8354858
424	139.7713328
425	139.6932261
426	139.6044981
427	139.4875943
428	139.3866124
429	139.2901811
430	139.2022373
431	139.0947663
432	139.022525
433	138.8810529
434	138.8240565
435	138.7353677
436	138.5843637
437	138.4984044
438	138.4267947
439	138.3845038
440	138.2984698
441	138.1750137
442	138.1007822
443	138.0208778
444	137.933398
445	137.7960386
446	137.7032956
447	137.6038199
448	137.4733204
449	137.3545322
450	137.225192
451	137.0977415
452	137.0166688
453	136.9343386
454	136.8574575
455	136.7614928
456	136.6617053
457	136.5849798
458	136.5379666
459	136.4705323
460	136.4032224
461	136.3238965
462	136.2433669
463	136.1511433
464	136.0989459
465	136.0237585
466	135.9055439
467	135.8578764
468	135.7989266
469	135.713353
470	135.6376697
471	135.5357943
472	135.4208457
473	135.3276632
474	135.2254552
475	135.1915475
476	135.0876863
477	135.0328203
478	134.9219248
479	134.8590541
480	134.7401681
481	134.6482623
482	134.5704206
483	134.4518845
484	134.3854888
485	134.2798235
486	134.1991339
487	134.108931
488	133.9643549
489	133.8621271
490	133.7642016
491	133.7006446
492	133.6338299
493	133.5602992
494	133.4517242
495	133.3231505
496	133.2093948
497	133.1504258
498	133.1038371
499	133.0383694
500	132.9622571
501	132.8862006
502	132.8236964
503	132.7731939
504	132.6820412
505	132.6133076
506	132.5043134
507	132.3860442
508	132.2852091
509	132.1993382
510	132.1211997
511	132.0569024
512	131.9743976
513	131.9276347
514	131.8633418
515	131.7586958
516	131.6798192
517	131.621301
518	131.5215795
519	131.457661
520	131.3362948
521	131.2220528
522	131.1556456
523	131.0891608
524	130.9833222
525	130.8896396
526	130.8481727
527	130.7861264
528	130.7226164
529	130.6540016
530	130.5699871
531	130.4965107
532	130.3573444
533	130.2945187
534	130.1968569
535	130.1073784
536	130.0601311
537	129.9640458
538	129.8981743
539	129.828274
540	129.7489714
541	129.6613272
542	129.5563591
543	129.4648556
544	129.4161962
545	129.3395788
